timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:26:21.941226,1.45,0,0.0,1.45
2026-03-24T14:26:22.157471,1.4,0,0.0,1.41
2026-03-24T14:26:22.241383,1.4,0,0.0,1.4
2026-03-24T14:26:22.253672,1.39,0,0.0,1.4
2026-03-24T14:28:33.113655,1.04,-35,-0.01,0.96
2026-03-24T14:28:33.203485,1.63,-71,-0.01,0.97
2026-03-24T14:28:33.413301,1.09,24,0.0,1.02
2026-03-24T14:28:33.431385,1.17,14,0.0,1.02
2026-03-24T14:28:33.479705,1.29,-4,0.0,1.05
2026-03-24T14:28:33.527439,1.28,-4,0.0,1.09
2026-03-24T14:28:33.581488,1.26,-7,0.0,1.11
2026-03-24T14:28:33.605331,1.26,-9,0.0,1.13
2026-03-24T14:28:33.629385,1.27,-7,0.0,1.17
2026-03-24T14:28:33.677291,1.29,-1,0.0,1.18
2026-03-24T14:28:33.821303,1.35,1,-0.02,1.27
2026-03-24T14:28:33.881723,1.34,8,-0.02,1.27
2026-03-24T14:28:33.905340,1.29,0,-0.02,1.28
2026-03-24T14:28:34.199452,1.28,7,-0.05,1.3
2026-03-24T14:28:34.211361,1.29,0,-0.05,1.3
